,URL,ingredient
0,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,3 eggs
1,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,3/4 cup vegetable oil
2,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,2/3 cup packed brown sugar
3,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,1 cup white sugar
4,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,1 cup grated zucchini
5,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,"2 bananas, mashed"
6,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,2 teaspoons vanilla extract
7,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,3 1/2 cups all-purpose flour
8,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,1 tablespoon ground cinnamon
9,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,1 1/2 teaspoons baking powder
10,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,1 teaspoon baking soda
11,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,1 teaspoon salt
12,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,1/2 cup dried cranberries
13,https://www.allrecipes.com/recipe/141933/banana-zucchini-bread/,1/2 cup chopped walnuts
0,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,3 (10 ounce) packages refrigerated biscuit dough
1,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,3/4 cup white sugar
2,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,3 tablespoons ground cinnamon
3,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,1/2 cup margarine
4,https://www.allrecipes.com/recipe/6925/monkey-bread-v/,3/4 cup white sugar
0,https://www.allrecipes.com/recipe/232675/josephs-best-easy-bacon-recipe/,1 (16 ounce) package thick-cut bacon
0,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,10 cups white bread cubes
1,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,"1 (8 ounce) package lowfat cream cheese, softened"
2,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,8 eggs
3,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,1 1/2 cups milk
4,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,2/3 cup half-and-half cream
5,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,1/2 cup maple syrup
6,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,1/2 teaspoon vanilla extract
7,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,2 tablespoons confectioners' sugar
0,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,2 eggs
1,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,2/3 cup white sugar
2,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,"2 very ripe bananas, mashed"
3,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,1/4 cup applesauce
4,https://www.allrecipes.com/recipe/24930/lower-fat-banana-bread-ii/,1/3 cup nonfat milk
