,URL,amount,nutrient,recipe
0,https://www.allrecipes.com/recipe/7016/french-toast-i/,6.4g,Total Fat,French Toast I
1,https://www.allrecipes.com/recipe/7016/french-toast-i/,2.0g,Saturated Fat,French Toast I
2,https://www.allrecipes.com/recipe/7016/french-toast-i/,128mg,Cholesterol,French Toast I
3,https://www.allrecipes.com/recipe/7016/french-toast-i/,478mg,Sodium,French Toast I
4,https://www.allrecipes.com/recipe/7016/french-toast-i/,190mg,Potassium,French Toast I
5,https://www.allrecipes.com/recipe/7016/french-toast-i/,33.6g,Total Carbohydrates,French Toast I
6,https://www.allrecipes.com/recipe/7016/french-toast-i/,1.6g,Dietary Fiber,French Toast I
7,https://www.allrecipes.com/recipe/7016/french-toast-i/,10.6g,Protein,French Toast I
8,https://www.allrecipes.com/recipe/7016/french-toast-i/,6g,Sugars,French Toast I
9,https://www.allrecipes.com/recipe/7016/french-toast-i/,266IU,Vitamin A,French Toast I
10,https://www.allrecipes.com/recipe/7016/french-toast-i/,0mg,Vitamin C,French Toast I
11,https://www.allrecipes.com/recipe/7016/french-toast-i/,174mg,Calcium,French Toast I
12,https://www.allrecipes.com/recipe/7016/french-toast-i/,3mg,Iron,French Toast I
13,https://www.allrecipes.com/recipe/7016/french-toast-i/,0mg,Thiamin,French Toast I
14,https://www.allrecipes.com/recipe/7016/french-toast-i/,5mg,Niacin,French Toast I
15,https://www.allrecipes.com/recipe/7016/french-toast-i/,0mg,Vitamin B6,French Toast I
16,https://www.allrecipes.com/recipe/7016/french-toast-i/,25mg,Magnesium,French Toast I
17,https://www.allrecipes.com/recipe/7016/french-toast-i/,85mcg,Folate,French Toast I
0,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,7.2g,Total Fat,French Toast Casserole
1,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,2.0g,Saturated Fat,French Toast Casserole
2,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,129mg,Cholesterol,French Toast Casserole
3,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,388mg,Sodium,French Toast Casserole
4,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,169mg,Potassium,French Toast Casserole
5,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,26.6g,Total Carbohydrates,French Toast Casserole
6,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,0.9g,Dietary Fiber,French Toast Casserole
7,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,8.5g,Protein,French Toast Casserole
8,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,13g,Sugars,French Toast Casserole
9,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,357IU,Vitamin A,French Toast Casserole
10,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,0mg,Vitamin C,French Toast Casserole
11,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,138mg,Calcium,French Toast Casserole
12,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,2mg,Iron,French Toast Casserole
13,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,0mg,Thiamin,French Toast Casserole
14,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,3mg,Niacin,French Toast Casserole
15,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,0mg,Vitamin B6,French Toast Casserole
16,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,18mg,Magnesium,French Toast Casserole
17,https://www.allrecipes.com/recipe/22389/french-toast-casserole/,51mcg,Folate,French Toast Casserole
0,https://www.allrecipes.com/recipe/6687/banana-bread/,3.7g,Total Fat,Banana Bread
1,https://www.allrecipes.com/recipe/6687/banana-bread/,2.0g,Saturated Fat,Banana Bread
2,https://www.allrecipes.com/recipe/6687/banana-bread/,31mg,Cholesterol,Banana Bread
3,https://www.allrecipes.com/recipe/6687/banana-bread/,181mg,Sodium,Banana Bread
4,https://www.allrecipes.com/recipe/6687/banana-bread/,101mg,Potassium,Banana Bread
5,https://www.allrecipes.com/recipe/6687/banana-bread/,26.5g,Total Carbohydrates,Banana Bread
6,https://www.allrecipes.com/recipe/6687/banana-bread/,0.9g,Dietary Fiber,Banana Bread
7,https://www.allrecipes.com/recipe/6687/banana-bread/,2.3g,Protein,Banana Bread
8,https://www.allrecipes.com/recipe/6687/banana-bread/,15g,Sugars,Banana Bread
9,https://www.allrecipes.com/recipe/6687/banana-bread/,133IU,Vitamin A,Banana Bread
10,https://www.allrecipes.com/recipe/6687/banana-bread/,2mg,Vitamin C,Banana Bread
11,https://www.allrecipes.com/recipe/6687/banana-bread/,7mg,Calcium,Banana Bread
12,https://www.allrecipes.com/recipe/6687/banana-bread/,1mg,Iron,Banana Bread
13,https://www.allrecipes.com/recipe/6687/banana-bread/,0mg,Thiamin,Banana Bread
14,https://www.allrecipes.com/recipe/6687/banana-bread/,1mg,Niacin,Banana Bread
15,https://www.allrecipes.com/recipe/6687/banana-bread/,0mg,Vitamin B6,Banana Bread
16,https://www.allrecipes.com/recipe/6687/banana-bread/,9mg,Magnesium,Banana Bread
17,https://www.allrecipes.com/recipe/6687/banana-bread/,29mcg,Folate,Banana Bread
0,https://www.allrecipes.com/recipe/21551/quick-quiche/,18.8g,Total Fat,Quick Quiche
1,https://www.allrecipes.com/recipe/21551/quick-quiche/,9.0g,Saturated Fat,Quick Quiche
2,https://www.allrecipes.com/recipe/21551/quick-quiche/,170mg,Cholesterol,Quick Quiche
3,https://www.allrecipes.com/recipe/21551/quick-quiche/,804mg,Sodium,Quick Quiche
4,https://www.allrecipes.com/recipe/21551/quick-quiche/,243mg,Potassium,Quick Quiche
5,https://www.allrecipes.com/recipe/21551/quick-quiche/,12.9g,Total Carbohydrates,Quick Quiche
6,https://www.allrecipes.com/recipe/21551/quick-quiche/,0.4g,Dietary Fiber,Quick Quiche
7,https://www.allrecipes.com/recipe/21551/quick-quiche/,17g,Protein,Quick Quiche
8,https://www.allrecipes.com/recipe/21551/quick-quiche/,4g,Sugars,Quick Quiche
9,https://www.allrecipes.com/recipe/21551/quick-quiche/,557IU,Vitamin A,Quick Quiche
10,https://www.allrecipes.com/recipe/21551/quick-quiche/,0mg,Vitamin C,Quick Quiche
11,https://www.allrecipes.com/recipe/21551/quick-quiche/,244mg,Calcium,Quick Quiche
12,https://www.allrecipes.com/recipe/21551/quick-quiche/,1mg,Iron,Quick Quiche
13,https://www.allrecipes.com/recipe/21551/quick-quiche/,0mg,Thiamin,Quick Quiche
14,https://www.allrecipes.com/recipe/21551/quick-quiche/,5mg,Niacin,Quick Quiche
15,https://www.allrecipes.com/recipe/21551/quick-quiche/,0mg,Vitamin B6,Quick Quiche
16,https://www.allrecipes.com/recipe/21551/quick-quiche/,25mg,Magnesium,Quick Quiche
17,https://www.allrecipes.com/recipe/21551/quick-quiche/,40mcg,Folate,Quick Quiche
0,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,24.9g,Total Fat,Easy Broccoli Quiche
1,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,11.0g,Saturated Fat,Easy Broccoli Quiche
2,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,162mg,Cholesterol,Easy Broccoli Quiche
3,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,885mg,Sodium,Easy Broccoli Quiche
4,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,308mg,Potassium,Easy Broccoli Quiche
5,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,21.5g,Total Carbohydrates,Easy Broccoli Quiche
6,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,2.2g,Dietary Fiber,Easy Broccoli Quiche
7,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,16.1g,Protein,Easy Broccoli Quiche
8,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,5g,Sugars,Easy Broccoli Quiche
9,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,775IU,Vitamin A,Easy Broccoli Quiche
10,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,27mg,Vitamin C,Easy Broccoli Quiche
11,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,334mg,Calcium,Easy Broccoli Quiche
12,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,2mg,Iron,Easy Broccoli Quiche
13,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,0mg,Thiamin,Easy Broccoli Quiche
14,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,5mg,Niacin,Easy Broccoli Quiche
15,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,0mg,Vitamin B6,Easy Broccoli Quiche
16,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,30mg,Magnesium,Easy Broccoli Quiche
17,https://www.allrecipes.com/recipe/24148/easy-broccoli-quiche/,66mcg,Folate,Easy Broccoli Quiche
0,https://www.allrecipes.com/recipe/45396/easy-pancakes/,9.6g,Total Fat,Easy Pancakes
1,https://www.allrecipes.com/recipe/45396/easy-pancakes/,2.0g,Saturated Fat,Easy Pancakes
2,https://www.allrecipes.com/recipe/45396/easy-pancakes/,51mg,Cholesterol,Easy Pancakes
3,https://www.allrecipes.com/recipe/45396/easy-pancakes/,804mg,Sodium,Easy Pancakes
4,https://www.allrecipes.com/recipe/45396/easy-pancakes/,142mg,Potassium,Easy Pancakes
5,https://www.allrecipes.com/recipe/45396/easy-pancakes/,33.5g,Total Carbohydrates,Easy Pancakes
6,https://www.allrecipes.com/recipe/45396/easy-pancakes/,0.8g,Dietary Fiber,Easy Pancakes
7,https://www.allrecipes.com/recipe/45396/easy-pancakes/,6.8g,Protein,Easy Pancakes
8,https://www.allrecipes.com/recipe/45396/easy-pancakes/,9g,Sugars,Easy Pancakes
9,https://www.allrecipes.com/recipe/45396/easy-pancakes/,176IU,Vitamin A,Easy Pancakes
10,https://www.allrecipes.com/recipe/45396/easy-pancakes/,0mg,Vitamin C,Easy Pancakes
11,https://www.allrecipes.com/recipe/45396/easy-pancakes/,183mg,Calcium,Easy Pancakes
12,https://www.allrecipes.com/recipe/45396/easy-pancakes/,2mg,Iron,Easy Pancakes
13,https://www.allrecipes.com/recipe/45396/easy-pancakes/,0mg,Thiamin,Easy Pancakes
14,https://www.allrecipes.com/recipe/45396/easy-pancakes/,3mg,Niacin,Easy Pancakes
15,https://www.allrecipes.com/recipe/45396/easy-pancakes/,0mg,Vitamin B6,Easy Pancakes
16,https://www.allrecipes.com/recipe/45396/easy-pancakes/,16mg,Magnesium,Easy Pancakes
17,https://www.allrecipes.com/recipe/45396/easy-pancakes/,66mcg,Folate,Easy Pancakes
0,https://www.allrecipes.com/recipe/20177/todds-famous-blueberry-pancakes/,2.9g,Total Fat,Todd's Famous Blueberry Pancakes
1,https://www.allrecipes.com/recipe/20177/todds-famous-blueberry-pancakes/,1.0g,Saturated Fat,Todd's Famous Blueberry Pancakes
2,https://www.allrecipes.com/recipe/20177/todds-famous-blueberry-pancakes/,37mg,Cholesterol,Todd's Famous Blueberry Pancakes
3,https://www.allrecipes.com/recipe/20177/todds-famous-blueberry-pancakes/,397mg,Sodium,Todd's Famous Blueberry Pancakes
4,https://www.allrecipes.com/recipe/20177/todds-famous-blueberry-pancakes/,108mg,Potassium,Todd's Famous Blueberry Pancakes
5,https://www.allrecipes.com/recipe/20177/todds-famous-blueberry-pancakes/,24.7g,Total Carbohydrates,Todd's Famous Blueberry Pancakes
6,https://www.allrecipes.com/recipe/20177/todds-famous-blueberry-pancakes/,1.1g,Dietary Fiber,Todd's Famous Blueberry Pancakes
