"url_list_link","url_list_selection1_name","url_list_selection1_url"
"https://www.allrecipes.com/recipes/17562/dinner/?page=1","Smothered Chicken Breasts","https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/?internalSource=rotd&referringId=17562&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/17562/dinner/?page=1","Asian Beef with Snow Peas","https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/?internalSource=staff%20pick&referringId=17562&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/17562/dinner/?page=1","Pasta Pomodoro","https://www.allrecipes.com/recipe/23847/pasta-pomodoro/?internalSource=staff%20pick&referringId=17562&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/17562/dinner/?page=1","Fry Bread Tacos II","https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/?internalSource=staff%20pick&referringId=17562&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/17562/dinner/?page=1","Pork Marsala","https://www.allrecipes.com/recipe/140829/pork-marsala/?internalSource=staff%20pick&referringId=17562&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/17562/dinner/?page=1","Grilled Chicken with Rosemary and Bacon","https://www.allrecipes.com/recipe/217981/grilled-chicken-with-rosemary-and-bacon/?internalSource=staff%20pick&referringId=17562&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/17562/dinner/?page=1","Beefy Baked Ravioli","https://www.allrecipes.com/recipe/87624/beefy-baked-ravioli/?internalSource=staff%20pick&referringId=17562&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/17562/dinner/?page=1","Fresh Tomato Shrimp Pasta","https://www.allrecipes.com/recipe/87648/fresh-tomato-shrimp-pasta/?internalSource=staff%20pick&referringId=17562&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/17562/dinner/?page=1","Lemon Rosemary Salmon","https://www.allrecipes.com/recipe/80388/lemon-rosemary-salmon/?internalSource=staff%20pick&referringId=17562&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/17562/dinner/?page=1","World's Best Lasagna","https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/?internalSource=hub%20recipe&referringId=17562&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/17562/dinner/?page=1","Broiled Tilapia Parmesan","https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/?internalSource=hub%20recipe&referringId=17562&referringContentType=Recipe%20Hub"
