"url_list_link","url_list_selection1_name","url_list_selection1_url"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)","https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/?internalSource=rotd&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Blueberry Smoothie Bowl","https://www.allrecipes.com/recipe/245208/blueberry-smoothie-bowl/?internalSource=staff%20pick&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Chef John's Shakshuka","https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/?internalSource=staff%20pick&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Pesto Pizza","https://www.allrecipes.com/recipe/21528/pesto-pizza/?internalSource=staff%20pick&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Zavioli with Spinach and Ricotta","https://www.allrecipes.com/recipe/254971/zavioli-with-spinach-and-ricotta/?internalSource=staff%20pick&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Grilled Portobello Mushrooms with Mashed Cannellini Beans and Harissa Sauce","https://www.allrecipes.com/recipe/256728/grilled-portobello-mushrooms-with-mashed-cannellini-beans-and-harissa-sauce/?internalSource=staff%20pick&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Summer Bounty 'Pasta'","https://www.allrecipes.com/recipe/244973/summer-bounty-pasta/?internalSource=staff%20pick&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Thai Rice Noodle Salad","https://www.allrecipes.com/recipe/257695/thai-rice-noodle-salad/?internalSource=staff%20pick&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Vegan Mexican Quinoa Bowl with Green Chile Cilantro Sauce","https://www.allrecipes.com/recipe/255695/vegan-mexican-quinoa-bowl-with-green-chile-cilantro-sauce/?internalSource=staff%20pick&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Guacamole","https://www.allrecipes.com/recipe/14231/guacamole/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Quinoa and Black Beans","https://www.allrecipes.com/recipe/49552/quinoa-and-black-beans/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Quick and Easy Alfredo Sauce","https://www.allrecipes.com/recipe/19402/quick-and-easy-alfredo-sauce/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Annie's Fruit Salsa and Cinnamon Chips","https://www.allrecipes.com/recipe/26692/annies-fruit-salsa-and-cinnamon-chips/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Jamie's Cranberry Spinach Salad","https://www.allrecipes.com/recipe/14469/jamies-cranberry-spinach-salad/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Mouth-Watering Stuffed Mushrooms","https://www.allrecipes.com/recipe/15184/mouth-watering-stuffed-mushrooms/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Roasted Brussels Sprouts","https://www.allrecipes.com/recipe/67952/roasted-brussels-sprouts/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Alfredo Sauce","https://www.allrecipes.com/recipe/22831/alfredo-sauce/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Eggplant Parmesan II","https://www.allrecipes.com/recipe/25321/eggplant-parmesan-ii/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Homemade Black Bean Veggie Burgers","https://www.allrecipes.com/recipe/85452/homemade-black-bean-veggie-burgers/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Yummy Sweet Potato Casserole","https://www.allrecipes.com/recipe/21261/yummy-sweet-potato-casserole/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
"https://www.allrecipes.com/recipes/87/everyday/cooking/vegetarian/?page=1","Chuck's Favorite Mac and Cheese","https://www.allrecipes.com/recipe/19368/chucks-favorite-mac-and-cheese/?internalSource=hub%20recipe&referringId=87&referringContentType=Recipe%20Hub"
