,URL,amount,nutrient,recipe
0,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,20.1g,Total Fat,Smothered Chicken Breasts
1,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,8.0g,Saturated Fat,Smothered Chicken Breasts
2,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,124mg,Cholesterol,Smothered Chicken Breasts
3,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,809mg,Sodium,Smothered Chicken Breasts
4,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,377mg,Potassium,Smothered Chicken Breasts
5,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,16.9g,Total Carbohydrates,Smothered Chicken Breasts
6,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,0.5g,Dietary Fiber,Smothered Chicken Breasts
7,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,44g,Protein,Smothered Chicken Breasts
8,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,15g,Sugars,Smothered Chicken Breasts
9,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,29IU,Vitamin A,Smothered Chicken Breasts
10,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,2mg,Vitamin C,Smothered Chicken Breasts
11,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,35mg,Calcium,Smothered Chicken Breasts
12,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,1mg,Iron,Smothered Chicken Breasts
13,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,0mg,Thiamin,Smothered Chicken Breasts
14,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,19mg,Niacin,Smothered Chicken Breasts
15,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,0mg,Vitamin B6,Smothered Chicken Breasts
16,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,38mg,Magnesium,Smothered Chicken Breasts
17,https://www.allrecipes.com/recipe/222607/smothered-chicken-breasts/,9mcg,Folate,Smothered Chicken Breasts
0,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,10g,Total Fat,Asian Beef with Snow Peas
1,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,3.0g,Saturated Fat,Asian Beef with Snow Peas
2,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,39mg,Cholesterol,Asian Beef with Snow Peas
3,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,711mg,Sodium,Asian Beef with Snow Peas
4,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,343mg,Potassium,Asian Beef with Snow Peas
5,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,9.7g,Total Carbohydrates,Asian Beef with Snow Peas
6,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,1.5g,Dietary Fiber,Asian Beef with Snow Peas
7,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,16g,Protein,Asian Beef with Snow Peas
8,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,6g,Sugars,Asian Beef with Snow Peas
9,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,66IU,Vitamin A,Asian Beef with Snow Peas
10,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,26mg,Vitamin C,Asian Beef with Snow Peas
11,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,34mg,Calcium,Asian Beef with Snow Peas
12,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,3mg,Iron,Asian Beef with Snow Peas
13,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,0mg,Thiamin,Asian Beef with Snow Peas
14,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,6mg,Niacin,Asian Beef with Snow Peas
15,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,0mg,Vitamin B6,Asian Beef with Snow Peas
16,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,32mg,Magnesium,Asian Beef with Snow Peas
17,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,23mcg,Folate,Asian Beef with Snow Peas
0,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,18.3g,Total Fat,Pasta Pomodoro
1,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,3.0g,Saturated Fat,Pasta Pomodoro
2,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,6mg,Cholesterol,Pasta Pomodoro
3,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,350mg,Sodium,Pasta Pomodoro
4,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,485mg,Potassium,Pasta Pomodoro
5,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,69.7g,Total Carbohydrates,Pasta Pomodoro
6,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,5.4g,Dietary Fiber,Pasta Pomodoro
7,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,16.2g,Protein,Pasta Pomodoro
8,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,6g,Sugars,Pasta Pomodoro
