,URL,ingredient
0,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,"3 tomatoes, seeded and cubed"
1,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,"1 bunch fresh basil leaves, chopped"
2,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,salt and ground black pepper to taste
3,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,2 cups cubed mozzarella cheese
4,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,1 tablespoon olive oil
5,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,2 tablespoons grated Parmesan cheese
6,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,cooking spray
7,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,12 empanada pastry discs
8,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,1 tablespoon Dijon mustard
9,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,1 tablespoon sesame seeds
0,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,2 tablespoons olive oil
1,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,"1 large onion, diced"
2,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,1/2 cup sliced fresh mushrooms
3,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,"1 teaspoon salt, or more to taste"
4,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,1 cup diced red bell pepper
5,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,"1 jalapeno pepper, seeded and sliced"
6,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,1 teaspoon cumin
7,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,1/2 teaspoon paprika
8,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,1/2 teaspoon ground turmeric
9,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,"1/2 teaspoon freshly ground black pepper, plus more to taste"
10,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,1/4 teaspoon cayenne pepper
11,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,"1 (28 ounce) can crushed San Marzano tomatoes, or other high-quality plum tomatoes"
12,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,"1/2 cup water, or more as needed"
13,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,6 large eggs
14,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,2 tablespoons crumbled feta cheese
15,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,2 tablespoons chopped fresh parsley
0,https://www.allrecipes.com/recipe/21528/pesto-pizza/,1 (12 inch) pre-baked pizza crust
1,https://www.allrecipes.com/recipe/21528/pesto-pizza/,1/2 cup pesto
2,https://www.allrecipes.com/recipe/21528/pesto-pizza/,"1 ripe tomato, chopped"
3,https://www.allrecipes.com/recipe/21528/pesto-pizza/,"1/2 cup green bell pepper, chopped"
