,URL,amount,nutrient,recipe
0,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,7.4g,Total Fat,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
1,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,3g,Saturated Fat,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
2,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,13mg,Cholesterol,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
3,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,356mg,Sodium,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
4,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,129mg,Potassium,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
5,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,22.7g,Total Carbohydrates,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
6,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,1.6g,Dietary Fiber,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
7,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,8.6g,Protein,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
8,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,1g,Sugars,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
9,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,772IU,Vitamin A,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
10,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,6mg,Vitamin C,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
11,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,180mg,Calcium,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
12,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,0mg,Iron,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
13,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,0mg,Thiamin,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
14,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,1mg,Niacin,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
15,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,0mg,Vitamin B6,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
16,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,16mg,Magnesium,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
17,https://www.allrecipes.com/recipe/258671/empanadas-de-tomate-queso-y-albahaca-tomato-basil-and-mozzarella-empanadas/,13mcg,Folate,"Empanadas de Tomate, Queso, y Albahaca (Tomato, Basil, and Mozzarella Empanadas)"
0,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,10.8g,Total Fat,Chef John's Shakshuka
1,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,3.0g,Saturated Fat,Chef John's Shakshuka
2,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,189mg,Cholesterol,Chef John's Shakshuka
3,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,670mg,Sodium,Chef John's Shakshuka
4,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,597mg,Potassium,Chef John's Shakshuka
5,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,14.9g,Total Carbohydrates,Chef John's Shakshuka
6,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,3.8g,Dietary Fiber,Chef John's Shakshuka
7,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,9.9g,Protein,Chef John's Shakshuka
8,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,3g,Sugars,Chef John's Shakshuka
9,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,2209IU,Vitamin A,Chef John's Shakshuka
10,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,49mg,Vitamin C,Chef John's Shakshuka
11,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,102mg,Calcium,Chef John's Shakshuka
12,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,3mg,Iron,Chef John's Shakshuka
13,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,0mg,Thiamin,Chef John's Shakshuka
14,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,4mg,Niacin,Chef John's Shakshuka
15,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,0mg,Vitamin B6,Chef John's Shakshuka
16,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,43mg,Magnesium,Chef John's Shakshuka
17,https://www.allrecipes.com/recipe/245362/chef-johns-shakshuka/,62mcg,Folate,Chef John's Shakshuka
0,https://www.allrecipes.com/recipe/21528/pesto-pizza/,19.9g,Total Fat,Pesto Pizza
1,https://www.allrecipes.com/recipe/21528/pesto-pizza/,8.0g,Saturated Fat,Pesto Pizza
2,https://www.allrecipes.com/recipe/21528/pesto-pizza/,36mg,Cholesterol,Pesto Pizza
3,https://www.allrecipes.com/recipe/21528/pesto-pizza/,937mg,Sodium,Pesto Pizza
4,https://www.allrecipes.com/recipe/21528/pesto-pizza/,164mg,Potassium,Pesto Pizza
5,https://www.allrecipes.com/recipe/21528/pesto-pizza/,39.3g,Total Carbohydrates,Pesto Pizza
6,https://www.allrecipes.com/recipe/21528/pesto-pizza/,3g,Dietary Fiber,Pesto Pizza
7,https://www.allrecipes.com/recipe/21528/pesto-pizza/,17.3g,Protein,Pesto Pizza
8,https://www.allrecipes.com/recipe/21528/pesto-pizza/,4g,Sugars,Pesto Pizza
9,https://www.allrecipes.com/recipe/21528/pesto-pizza/,571IU,Vitamin A,Pesto Pizza
10,https://www.allrecipes.com/recipe/21528/pesto-pizza/,17mg,Vitamin C,Pesto Pizza
11,https://www.allrecipes.com/recipe/21528/pesto-pizza/,282mg,Calcium,Pesto Pizza
12,https://www.allrecipes.com/recipe/21528/pesto-pizza/,1mg,Iron,Pesto Pizza
